,index,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url
0,1,1.6357214584097997e+18,b'Gaia DR2 5865593822062087168',5.865593822062087e+18,909732462.0,2015.5,206.64720394275096,0.02412747279042956,-62.069464753660654,0.025892656352460134,8.571929461326246,0.0388643910637347,220.5599822998047,-29.911416333161238,0.039647509890570025,-20.622015781968244,0.05018832947369182,0.2790263295173645,-0.07611437141895294,-0.5148816704750061,-0.11340104043483734,-0.043016768991947174,-0.08118736743927002,-0.2532031238079071,0.18419413268566132,0.35601097345352173,0.432079553604126,429.0,429.0,425.0,4.0,9.172510147094727,744.902099609375,0.0,2.7589342046001667e-15,31.0,False,79.99845886230469,1.6550279329351698,0.007062006479181043,0.057802435010671616,49.0,19.0,0.03724301978945732,0.0,58.0,True,486.0,12790675.618002309,3859.293310672098,3314.25341796875,7.9211320877075195,53.0,7390179.582811888,5196.191369533333,1422.2301025390625,8.179750442504883,48.0,7651663.887130339,5006.752229959971,1528.2689208984375,7.552530288696289,1.176000714302063,0.0,0.6272201538085938,0.2586183547973633,0.36860179901123047,11.977946367509144,0.5860444607734869,27.0,6000.0,3.5,0.0,b'NOT_AVAILABLE',309.34132209718166,0.11402289181556394,232.42829347950908,-46.639397115226984,100001.0,6386.33349609375,6243.32470703125,6459.0,1.1614999771118164,0.6909000277519226,1.4448000192642212,0.541700005531311,0.3082999885082245,0.7200999855995178,200111.0,2.1206514835357666,2.0732033252716064,2.2189149856567383,6.739686489105225,6.694581985473633,6.784790992736816,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5865593822062087168',
1,3,1.6357214584097997e+18,b'Gaia DR2 6071087597518919808',6.07108759751892e+18,1527691886.0,2015.5,182.42379670915474,0.04250281706856732,-58.9116131958899,0.023457294834291417,9.534516909807275,0.04255242889553828,224.06517028808594,-34.567394976875214,0.06570943768802984,-8.522926884685415,0.04388304248820964,0.41848301887512207,-0.4651743173599243,-0.6447545886039734,-0.19223634898662567,-0.15277990698814392,-0.22312718629837036,-0.10972293466329575,0.4563770592212677,0.2042946070432663,0.35874393582344055,238.0,8.0,238.0,0.0,10.377307891845703,535.3153686523438,0.19713942862070188,9.307755116745062,31.0,False,21.135887145996094,1.3217958451819687,0.006359172699258581,-0.03413292393088341,27.0,13.0,0.0768817588686943,0.0,40.0,False,270.0,108959.10599605064,390.3081320833142,279.1617736816406,13.095207214355469,4.0,33816.99482660659,2225.8909210967704,15.19256591796875,14.02855110168457,5.0,159557.4394927107,12314.58224124968,12.956789016723633,11.754627227783203,1.7747431993484497,1.0,2.273923873901367,0.9333438873291016,1.3405799865722656,18.56821920823019,2.2548686408500354,3.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',297.55505831514745,3.5236685215710977,214.95860413896318,-50.98847983019766,102002.0,3825.455078125,3503.0,4424.02978515625,,,,,,,200111.0,0.6781737208366394,0.507073700428009,0.8087735176086426,0.08873788267374039,0.08780799061059952,0.08966777473688126,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6071087597518919808',
2,4,1.6357214584097997e+18,b'Gaia DR2 6071087597518919040',6.071087597518919e+18,797222857.0,2015.5,182.4240996886037,0.02283501975525431,-58.91256312144898,0.02041080450255748,9.431150693919347,0.030309167620228485,311.1649475097656,-37.431828807167484,0.04291989656979893,-10.800949704476043,0.039398486326570725,0.21478411555290222,-0.21225374937057495,-0.44656699895858765,-0.09106510877609253,-0.06187205761671066,-0.06528529524803162,-0.1425604671239853,0.17918351292610168,0.08397570252418518,0.2824687659740448,327.0,327.0,320.0,7.0,3.621736764907837,414.12933349609375,0.0,0.0,31.0,False,316.87841796875,1.5341041102792863,0.005266054287407444,-0.035988949239254,37.0,18.0,0.03405357897281647,0.0,42.0,True,362.0,1820042.2132511984,2214.806413543312,821.7612915039062,10.038162231445312,40.0,807034.2201925867,3280.581951456966,246.0033721923828,10.584157943725586,39.0,1427064.5025543263,4659.915748173716,306.2425537109375,9.375810623168945,1.2274982929229736,0.0,1.2083473205566406,0.5459957122802734,0.6623516082763672,10.568780518563889,3.1773835969951505,3.0,5250.0,4.5,0.0,b'NOT_AVAILABLE',297.55536670891513,3.522756334188731,214.95974964221426,-50.9891177190042,100001.0,4882.75,4774.19970703125,4932.466796875,,,,,,,200111.0,1.3382219076156616,1.3113807439804077,1.3997677564620972,0.9170836806297302,0.912245512008667,0.9219218492507935,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6071087597518919040',
3,5,1.6357214584097997e+18,b'Gaia DR2 5869404140942539008',5.869404140942539e+18,581306640.0,2015.5,199.4805586295833,0.021630797632331965,-61.010859133083514,0.02642636111027869,10.37876677723207,0.03509286333084411,295.7514953613281,-38.215285254594356,0.040285938773474354,-17.01826514936053,0.04515234063455318,0.044418834149837494,-0.22839422523975372,-0.3775349259376526,-0.020570212975144386,0.09634090214967728,0.07086864113807678,-0.2641699016094208,0.08360287547111511,0.12148180603981018,0.3845879137516022,380.0,380.0,375.0,5.0,10.072272300720215,716.1582641601562,0.0,0.0,31.0,True,161.3025360107422,1.6506274452650815,0.005915818505537804,-0.08662556856870651,44.0,16.0,0.03425508737564087,0.0,54.0,True,431.0,8538275.453488056,2112.737030784914,4041.333740234375,8.359940528869629,46.0,5015996.950927148,3458.263552731616,1450.43798828125,8.600495338439941,49.0,5039690.456257461,3942.8352430523983,1278.189453125,8.00590991973877,1.1777187585830688,0.0,0.5945854187011719,0.2405548095703125,0.3540306091308594,10.761264132578784,0.7673505506036561,12.0,6750.0,4.5,0.0,b'NOT_AVAILABLE',306.13672193720026,1.6959843560059684,227.36266713535932,-47.58191930502686,100001.0,6560.6953125,6453.60009765625,6730.01708984375,0.12449999898672104,0.026000000536441803,0.2637999951839447,0.06199999898672104,0.023000000044703484,0.125,200111.0,1.3552557229995728,1.287919282913208,1.4006088972091675,3.0657496452331543,3.049954414367676,3.081544876098633,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5869404140942539008',
4,7,1.6357214584097997e+18,b'Gaia DR2 6084425360726815360',6.084425360726816e+18,152912092.0,2015.5,194.99930975685194,0.029029353296290555,-50.3896331681622,0.03402495164054254,7.522904362646412,0.05142017360993817,146.30258178710938,-29.275676624153895,0.0866820619123751,-12.428832688179778,0.07790294690126975,0.012147871777415276,-0.2918115258216858,-0.5940297245979309,-0.017611980438232422,-0.09841463714838028,0.15091323852539062,-0.5220104455947876,0.2528136968612671,0.38955414295196533,0.06099490821361542,283.0,283.0,276.0,7.0,12.731584548950195,687.3566284179688,0.0,0.0,31.0,True,238.06414794921875,1.6334449993190967,0.007935252255105423,0.06369886547327042,32.0,11.0,0.054320838302373886,0.0,36.0,True,296.0,4645138.88563267,993.9805174112004,4673.26953125,9.020869255065918,36.0,2739510.9170749597,2567.446126069659,1067.017822265625,9.257205963134766,34.0,2737920.732351322,3636.319909277713,752.937255859375,8.668367385864258,1.1791750192642212,0.0,0.5888385772705078,0.23633670806884766,0.35250186920166016,12.52208275626333,1.3338302547189904,8.0,6500.0,4.5,0.0,b'NOT_AVAILABLE',304.3289129008026,12.458898452940998,216.62835698016912,-39.88065687925267,100001.0,6544.0751953125,6497.56640625,6751.3798828125,0.17319999635219574,0.03500000014901161,0.30379998683929443,0.0868000015616417,0.017999999225139618,0.1492999941110611,200111.0,1.3861364126205444,1.3023191690444946,1.4060509204864502,3.1746785640716553,3.145063877105713,3.2042932510375977,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6084425360726815360',
5,10,1.6357214584097997e+18,b'Gaia DR2 6075075594872297216',6.075075594872297e+18,692431781.0,2015.5,191.00783442815893,0.03965835824669741,-53.505768265640775,0.03211536725361723,7.946310509301459,0.06330960696690399,125.51508331298828,-31.432338056662253,0.07156236109366917,-11.05714298530835,0.05526807090772117,0.5529555082321167,-0.5642269253730774,-0.5405293107032776,-0.3761993646621704,-0.4192168116569519,-0.3044256865978241,-0.6131709218025208,0.5274114608764648,0.5236855149269104,0.7518452405929565,589.0,589.0,556.0,33.0,22.229190826416016,1665.9793701171875,0.08334286790677893,4.0422050970273995,31.0,True,70.69926452636719,1.6653611036159441,0.00716961797651777,-0.03493838757276535,67.0,14.0,0.05532708391547203,0.0,70.0,True,578.0,7310306.741525108,1926.3390658520038,3794.922119140625,8.528526306152344,68.0,4421902.978114493,2080.439104091011,2125.46630859375,8.737364768981934,62.0,4137354.4359949464,1904.0612637706029,2172.910400390625,8.220112800598145,1.1708478927612305,0.0,0.5172519683837891,0.20883846282958984,0.3084135055541992,8.661072175764088,2.1825199320092348,19.0,6500.0,3.5,0.0,b'NOT_AVAILABLE',301.81596492710344,9.34993241941076,215.98816617525512,-43.82093624008745,100001.0,6857.64990234375,6634.14990234375,7008.5498046875,0.32820001244544983,0.0794999971985817,0.7451000213623047,0.15049999952316284,0.028300000354647636,0.3529999852180481,200111.0,1.5002589225769043,1.436350703239441,1.6030470132827759,4.48464822769165,4.4381818771362305,4.53111457824707,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6075075594872297216',
6,11,1.6357214584097997e+18,b'Gaia DR2 5343610331876174336',5.343610331876174e+18,1282558831.0,2015.5,178.2830591594339,0.030476766226326488,-56.7272934061983,0.028617737319322285,9.791587775512749,0.044115173788158546,221.95509338378906,-39.40977808533831,0.05843674868200207,-10.227415788615886,0.05249883653644665,0.19535884261131287,-0.19561326503753662,-0.42482730746269226,-0.06795744597911835,0.03423042222857475,-0.010334605351090431,-0.24567818641662598,0.2631158232688904,0.2620031535625458,0.20382432639598846,303.0,303.0,301.0,2.0,10.731268882751465,640.2854614257812,0.0,1.6422973108575083e-15,31.0,True,99.39673614501953,1.6631874310161083,0.007077326854077892,0.006139170378446579,35.0,17.0,0.040522027760744095,0.0,40.0,False,343.0,10369022.296889093,2720.3298252995023,3811.678466796875,8.14902114868164,37.0,6155433.750766225,5670.132601447745,1085.5889892578125,8.378241539001465,35.0,6008781.852598264,5706.458050630189,1052.979248046875,7.814953804016113,1.1731303930282593,0.0,0.5632877349853516,0.22922039031982422,0.33406734466552734,13.357773008818654,0.6602940344441133,18.0,6750.0,4.5,0.0,b'NOT_AVAILABLE',294.96205219490093,5.239524241955811,210.06901520252126,-50.67978513585141,100001.0,6556.125,6459.79931640625,6776.740234375,0.5569999814033508,0.21369999647140503,0.7904999852180481,0.2770000100135803,0.05959999933838844,0.37599998712539673,200111.0,1.5852751731872559,1.483738660812378,1.6329054832458496,4.183048725128174,4.1562418937683105,4.209855556488037,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5343610331876174336',
7,12,1.6357214584097997e+18,b'Gaia DR2 6063860919887691136',6.063860919887691e+18,186263494.0,2015.5,201.14611402523087,0.0192994680448031,-55.956776231961626,0.052513912334320345,8.322788607614077,0.055677273831747545,149.48269653320312,-29.137661191604213,0.0726159407222931,-15.110335740357346,0.12631969972559787,0.2507723569869995,-0.1649150252342224,0.3295367658138275,-0.045659564435482025,-0.5404030084609985,0.34289270639419556,-0.7677878141403198,-0.38005298376083374,0.4530136287212372,-0.11802481859922409,431.0,431.0,427.0,4.0,4.9216389656066895,580.9127807617188,0.0,0.0,31.0,True,281.5234680175781,1.5975037512599273,0.004176405577079217,0.04100984334945679,53.0,14.0,0.08076508343219757,0.0,61.0,True,497.0,3051428.798124405,2551.9288211602125,1195.7342529296875,9.477108001708984,58.0,1643164.2886857432,4403.8107337620095,373.123291015625,9.812185287475586,56.0,1991947.4121011079,4468.977276686245,445.7278137207031,9.013725280761719,1.191281795501709,0.0,0.7984600067138672,0.33507728576660156,0.4633827209472656,11.237538023987184,1.0487646523671468,19.0,5750.0,4.0,-0.25,b'VARIABLE',307.5908856436622,6.614841696163283,224.60058254605943,-42.836420747843164,100001.0,5836.5,5731.19970703125,5919.86669921875,0.24799999594688416,0.026000000536441803,0.3497999906539917,0.11620000004768372,0.008999999612569809,0.179299995303154,200111.0,1.2877780199050903,1.251763105392456,1.335533857345581,1.7337509393692017,1.718163251876831,1.7493386268615723,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6063860919887691136',b'http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=6063860919887691136'
8,13,1.6357214584097997e+18,b'Gaia DR2 6060053001894433152',6.060053001894433e+18,533801819.0,2015.5,191.91103189112025,0.023404230589921717,-58.41576121624929,0.026011514000374436,7.641947308612004,0.037588568466409636,203.30508422851562,-29.499703625920432,0.04547915462063876,-7.789819514258738,0.044025947268132935,0.24144722521305084,-0.1176060289144516,-0.4219621419906616,-0.11455173045396805,-0.22797666490077972,-0.09090491384267807,-0.4376089572906494,0.2164829820394516,0.3153863549232483,0.4561544954776764,336.0,336.0,329.0,7.0,8.590909004211426,594.5814819335938,0.0,0.0,31.0,True,269.8782653808594,1.6514036902977658,0.006612046307555644,-0.05357739329338074,38.0,16.0,0.037228334695100784,0.0,46.0,True,373.0,4129140.316417941,731.8960466746558,5641.703125,9.148716926574707,43.0,2383572.8744809935,1691.6619348514923,1409.0125732421875,9.408316612243652,40.0,2498539.4493788728,1977.7337549609335,1263.3345947265625,8.767704010009766,1.1823556423187256,0.0,0.6406126022338867,0.2595996856689453,0.3810129165649414,14.12677520332796,1.0021530917948998,3.0,6500.0,4.5,0.0,b'NOT_AVAILABLE',302.4336816792889,4.45231860011258,220.52186828269961,-47.61036673917813,100001.0,6314.33349609375,6173.25,6566.7900390625,0.1973000019788742,0.0843999981880188,0.320499986410141,0.09650000184774399,0.05530000105500221,0.17299999296665192,200111.0,1.3831534385681152,1.2788485288619995,1.4470970630645752,2.7399678230285645,2.719886064529419,2.76004958152771,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6060053001894433152',
9,17,1.6357214584097997e+18,b'Gaia DR2 6075374902576831616',6.075374902576831e+18,1414225911.0,2015.5,180.03889564989092,0.030602684609591143,-57.11726040352304,0.028541373359290776,9.734074348723942,0.04431952511739945,219.6339874267578,-37.414503500007164,0.05796169161828051,-9.169616128889293,0.05259423526235489,0.21161611378192902,-0.28190112113952637,-0.4598383903503418,-0.17896705865859985,-0.045127399265766144,-0.12262411415576935,-0.31609201431274414,0.3399076461791992,0.2466408610343933,0.294371098279953,290.0,290.0,286.0,4.0,4.986008167266846,415.6830139160156,0.0,0.0,31.0,True,139.7902374267578,1.667298816312403,0.006794701718936797,-0.0530669242143631,33.0,16.0,0.042317166924476624,0.0,38.0,False,312.0,7839869.599037063,2076.309545432332,3775.867431640625,8.452593803405762,36.0,4559215.345670014,4061.2501926555656,1122.61376953125,8.70416259765625,31.0,4671372.05205118,4818.13773155456,969.5389404296875,8.088309288024902,1.177390456199646,0.0,0.6158533096313477,0.2515687942504883,0.3642845153808594,13.513681100422232,0.729950341777207,7.0,6250.0,4.5,0.0,b'NOT_AVAILABLE',295.9852641250028,5.061205244664502,211.62888164490934,-50.3843992621509,100001.0,6446.2265625,6310.80029296875,6519.9599609375,0.24899999797344208,0.18330000340938568,0.5321000218391418,0.13670000433921814,0.0966000035405159,0.2547999918460846,200111.0,1.4346246719360352,1.402360200881958,1.4968578815460205,3.2017953395843506,3.181086778640747,3.222503900527954,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6075374902576831616',
10,20,1.6357214584097997e+18,b'Gaia DR2 6059507987719518976',6.059507987719519e+18,119852262.0,2015.5,187.6924934643969,0.05273182298142,-58.188054868781656,0.0596230528836905,9.5678741282052,0.08499067662201286,112.57557678222656,-39.00125574212442,0.10093489675183462,-13.92822070089792,0.10066860317697304,0.27739691734313965,-0.07063669711351395,-0.4097920060157776,-0.16315312683582306,-0.0003053600376006216,-0.14000104367733002,-0.4217386841773987,0.19296175241470337,0.17510618269443512,0.3847850561141968,359.0,359.0,341.0,18.0,39.97053527832031,2799.4580078125,0.3116279384639729,38.637389055453916,31.0,True,8.311238288879395,1.6294392464973797,0.013072878434527884,-0.037193745374679565,40.0,18.0,0.06752721220254898,0.0,44.0,False,360.0,8017047.158006603,1565.8811419174722,5119.8310546875,8.428329467773438,43.0,4399475.84222328,2696.571476261726,1631.5072021484375,8.74288558959961,39.0,5138451.63042515,4727.854069534071,1086.846435546875,7.98483943939209,1.1897058486938477,0.0,0.7580461502075195,0.3145561218261719,0.44349002838134766,3.0654010355477848,4.202808645120426,9.0,6000.0,4.5,0.0,b'NOT_AVAILABLE',300.20219793307444,4.574110164575532,217.63220770524126,-48.728584465013746,100001.0,5826.966796875,5759.5498046875,5944.27490234375,,,,,,,200111.0,1.8221482038497925,1.750938892364502,1.8650552034378052,3.4485161304473877,3.4107887744903564,3.486243486404419,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6059507987719518976',
